Date,CO
2020-04-23,17
2020-04-24,22
2020-04-25,29
2020-04-26,23
2020-04-27,18
2020-04-28,22
2020-04-29,19
2020-04-30,37
2020-05-01,21
2020-05-02,12
2020-05-03,35
2020-05-04,14
2020-05-05,18
2020-05-06,14
2020-05-07,18
2020-05-08,18
2020-05-09,22
2020-05-10,27
2020-05-11,18
2020-05-12,20
2020-05-13,17
2020-05-14,17
2020-05-15,18
2020-05-16,17
2020-05-17,18
2020-05-18,15
2020-05-19,15
2020-05-20,14
2020-05-21,14
2020-05-22,16
2020-05-23,15
2020-05-24,26
2020-05-25,15
2020-05-26,18
2020-05-27,12
2020-05-28,16
2020-05-29,16
2020-05-30,36
2020-05-31,28
2020-06-01,22
2020-06-02,20
2020-06-03,14
2020-06-04,18
2020-06-05,17
2020-06-06,16
2020-06-07,19
2020-06-08,23
2020-06-09,38
2020-06-10,24
2020-06-11,17
2020-06-12,14
2020-06-13,14
2020-06-14,17
2020-06-15,18
2020-06-16,24
2020-06-17,20
2020-06-18,20
2020-06-19,14
2020-06-20,20
2020-06-21,17
2020-06-22,19
2020-06-23,21
2020-06-24,16
2020-06-25,53
2020-06-26,23
2020-06-27,18
2020-06-28,16
2020-06-29,15
2020-06-30,18
2020-07-01,15
2020-07-02,20
2020-07-03,23
2020-07-04,16
2020-07-05,16
2020-07-06,16
2020-07-07,15
2020-07-08,15
2020-07-09,14
2020-07-10,21
2020-07-11,20
2020-07-12,24
2020-07-13,20
2020-07-14,15
2020-07-15,14
2020-07-16,13
2020-07-17,17
2020-07-18,17
2020-07-19,21
2020-07-20,14
2020-07-21,48
2020-07-22,20
2020-07-23,15
2020-07-24,18
2020-07-25,13
2020-07-26,11
2020-07-27,12
2020-07-28,21
2020-07-29,17
2020-07-30,14
2020-07-31,13
2020-08-01,16
2020-08-02,26
2020-08-03,19
2020-08-04,12
2020-08-05,15
2020-08-06,21
2020-08-07,18
2020-08-08,17
2020-08-09,17
2020-08-10,19
2020-08-11,19
2020-08-12,37
2020-08-13,19
2020-08-14,21
2020-08-15,24
2020-08-16,20
2020-08-17,17
2020-08-18,19
2020-08-19,29
2020-08-20,18
2020-08-21,10
2020-08-22,20
2020-08-23,27
2020-08-24,17
2020-08-25,13
2020-08-26,9
2020-08-27,10
2020-08-28,15
2020-08-29,12
2020-08-30,15
2020-08-31,13
